"year","k","l","y","lnk","lnl","lny"
1899,100,100,100,4.6051702,4.6051702,4.6051702
1900,107,105,101,4.6728287,4.6539602,4.6151204
1901,114,110,112,4.7361984,4.7004805,4.7184987
1902,122,118,122,4.8040209,4.7706847,4.8040209
1903,131,123,124,4.8751974,4.8121843,4.8202815
1904,138,116,122,4.9272537,4.7535901,4.8040209
1905,149,125,143,5.0039463,4.8283138,4.9628448
1906,163,133,152,5.09375,4.8903489,5.0238805
1907,176,138,151,5.1704841,4.9272537,5.0172796
1908,185,121,126,5.220356,4.7957907,4.8362818
1909,198,140,155,5.2882671,4.9416423,5.0434251
1910,208,144,159,5.3375382,4.9698133,5.0689044
1911,216,145,153,5.3752785,4.9767337,5.0304379
1912,226,152,177,5.4205351,5.0238805,5.1761498
1913,236,154,184,5.4638319,5.0369525,5.2149358
1914,244,149,169,5.4971681,5.0039463,5.1298985
1915,266,154,189,5.5834961,5.0369525,5.2417469
1916,298,182,225,5.6970935,5.2040067,5.4161005
1917,335,196,227,5.8141303,5.2781148,5.4249501
1918,366,200,223,5.9026332,5.2983174,5.4071717
1919,387,193,218,5.9584246,5.2626901,5.3844953
1920,407,193,231,6.0088134,5.2626901,5.4424176
1921,417,147,179,6.0330863,4.9904327,5.187386
1922,431,161,240,6.0661082,5.0814042,5.480639
